date,stadium_number,race_number,race_code,status,measure_count,measure_labels,boats
2026-09-15,6,5,202609150605,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '松本 庸平', 'value1': 37.86, 'value2': 5.29, 'value3': 8.17}, {'boat_number': 2, 'racer_name': '坂東 満', 'value1': 37.44, 'value2': 5.41, 'value3': 8.17}, {'boat_number': 3, 'racer_name': '梅木 敬太', 'value1': 37.61, 'value2': 5.4, 'value3': 8.18}, {'boat_number': 4, 'racer_name': '篠田 優也', 'value1': 38.0, 'value2': 5.56, 'value3': 8.25}, {'boat_number': 5, 'racer_name': '星野 太郎', 'value1': 38.55, 'value2': 5.64, 'value3': 8.21}, {'boat_number': 6, 'racer_name': '丹下 将', 'value1': 38.34, 'value2': 5.4, 'value3': 8.25}]"
2026-09-15,9,7,202609150907,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '北川 敏弘', 'value1': 37.67, 'value2': 5.2, 'value3': 8.4}, {'boat_number': 2, 'racer_name': '崎 利仁', 'value1': 38.26, 'value2': 5.23, 'value3': 8.7}, {'boat_number': 3, 'racer_name': '浜野 孝志', 'value1': 37.5, 'value2': 4.87, 'value3': 8.37}, {'boat_number': 4, 'racer_name': '松井 友汰', 'value1': 37.66, 'value2': 5.03, 'value3': 8.53}, {'boat_number': 5, 'racer_name': '尾崎 雄二', 'value1': 37.71, 'value2': 5.1, 'value3': 8.53}, {'boat_number': 6, 'racer_name': '向井 美鈴', 'value1': 37.97, 'value2': 5.13, 'value3': 8.43}]"
2026-09-15,8,7,202609150807,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '畑田 希咲', 'value1': 37.74, 'value2': 5.59, 'value3': 7.28}, {'boat_number': 2, 'racer_name': '赤井 星璃菜', 'value1': 37.98, 'value2': 6.03, 'value3': 7.09}, {'boat_number': 3, 'racer_name': '野田 彩加', 'value1': 38.3, 'value2': 6.69, 'value3': 7.18}, {'boat_number': 4, 'racer_name': '神里 琴音', 'value1': 38.21, 'value2': 6.33, 'value3': 7.1}, {'boat_number': 5, 'racer_name': '井澤 聖奈', 'value1': 38.08, 'value2': 6.1, 'value3': 7.1}, {'boat_number': 6, 'racer_name': '長嶋 万記', 'value1': 38.13, 'value2': 5.96, 'value3': 7.11}]"
2026-09-15,14,11,202609151411,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '石塚 久也', 'value1': 36.99, 'value2': 5.81, 'value3': 7.1}, {'boat_number': 2, 'racer_name': '野長瀬 正孝', 'value1': 36.85, 'value2': 5.72, 'value3': 7.18}, {'boat_number': 3, 'racer_name': '古澤 光紀', 'value1': 36.84, 'value2': 5.83, 'value3': 7.01}, {'boat_number': 4, 'racer_name': '宮崎 奨', 'value1': 36.77, 'value2': 5.73, 'value3': 7.22}, {'boat_number': 5, 'racer_name': '岩崎 芳美', 'value1': 37.63, 'value2': 5.6, 'value3': 7.23}, {'boat_number': 6, 'racer_name': '長岡 良也', 'value1': 37.72, 'value2': 6.1, 'value3': 7.07}]"
2026-09-15,4,7,202609150407,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '繁野谷 圭介', 'value1': 37.57, 'value2': 5.87, 'value3': 7.54}, {'boat_number': 2, 'racer_name': '伊藤 尚汰', 'value1': 37.87, 'value2': 5.87, 'value3': 7.67}, {'boat_number': 3, 'racer_name': '新開 航', 'value1': 37.88, 'value2': 5.74, 'value3': 7.6}, {'boat_number': 4, 'racer_name': '三浦 裕貴', 'value1': 37.21, 'value2': 5.54, 'value3': 7.57}, {'boat_number': 5, 'racer_name': '永井 亮次', 'value1': 38.32, 'value2': 5.87, 'value3': 7.63}, {'boat_number': 6, 'racer_name': '内山 文典', 'value1': 37.27, 'value2': 5.63, 'value3': 7.53}]"
2026-09-15,11,8,202609151108,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '宇田川 信一', 'value1': 37.96, 'value2': 5.73, 'value3': 8.38}, {'boat_number': 2, 'racer_name': '天野 友和', 'value1': 37.37, 'value2': 5.83, 'value3': 7.93}, {'boat_number': 3, 'racer_name': '佐藤 博亮', 'value1': 36.99, 'value2': 6.01, 'value3': 8.27}, {'boat_number': 4, 'racer_name': '倉田 郁美', 'value1': 37.97, 'value2': 6.06, 'value3': 7.97}, {'boat_number': 5, 'racer_name': '川田 正人', 'value1': 38.51, 'value2': 6.0, 'value3': 8.13}, {'boat_number': 6, 'racer_name': '妻鳥 晋也', 'value1': 38.07, 'value2': 6.17, 'value3': 8.03}]"
2026-09-15,11,8,202609151108,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '宇田川 信一', 'value1': 37.96, 'value2': 5.73, 'value3': 8.38}, {'boat_number': 2, 'racer_name': '天野 友和', 'value1': 37.37, 'value2': 5.83, 'value3': 7.93}, {'boat_number': 3, 'racer_name': '佐藤 博亮', 'value1': 36.99, 'value2': 6.01, 'value3': 8.27}, {'boat_number': 4, 'racer_name': '倉田 郁美', 'value1': 37.97, 'value2': 6.06, 'value3': 7.97}, {'boat_number': 5, 'racer_name': '川田 正人', 'value1': 38.51, 'value2': 6.0, 'value3': 8.13}, {'boat_number': 6, 'racer_name': '妻鳥 晋也', 'value1': 38.07, 'value2': 6.17, 'value3': 8.03}]"
2026-09-15,6,6,202609150606,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '石塚 裕介', 'value1': 37.69, 'value2': 5.37, 'value3': 8.1}, {'boat_number': 2, 'racer_name': '田路 朋史', 'value1': 37.37, 'value2': 5.2, 'value3': 8.27}, {'boat_number': 3, 'racer_name': '岡崎 凪汰', 'value1': 37.77, 'value2': 5.41, 'value3': 8.43}, {'boat_number': 4, 'racer_name': '武田 正紀', 'value1': 38.09, 'value2': 5.81, 'value3': 8.43}, {'boat_number': 5, 'racer_name': '鈴木 孝明', 'value1': 38.02, 'value2': 5.55, 'value3': 8.17}, {'boat_number': 6, 'racer_name': '田中 辰彦', 'value1': 37.5, 'value2': 5.58, 'value3': 8.13}]"
2026-09-15,9,8,202609150908,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '坂井 康嗣', 'value1': 38.4, 'value2': 4.97, 'value3': 8.57}, {'boat_number': 2, 'racer_name': '上原 健次郎', 'value1': 37.87, 'value2': 4.93, 'value3': 8.47}, {'boat_number': 3, 'racer_name': '横田 貴満', 'value1': 38.3, 'value2': 5.1, 'value3': 8.53}, {'boat_number': 4, 'racer_name': '桑原 将光', 'value1': 38.7, 'value2': 4.93, 'value3': 8.68}, {'boat_number': 5, 'racer_name': '吉村 誠', 'value1': 38.11, 'value2': 5.09, 'value3': 8.4}, {'boat_number': 6, 'racer_name': '水口 由紀', 'value1': 38.23, 'value2': 5.67, 'value3': 8.13}]"
2026-09-15,9,8,202609150908,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '坂井 康嗣', 'value1': 38.4, 'value2': 4.97, 'value3': 8.57}, {'boat_number': 2, 'racer_name': '上原 健次郎', 'value1': 37.87, 'value2': 4.93, 'value3': 8.47}, {'boat_number': 3, 'racer_name': '横田 貴満', 'value1': 38.3, 'value2': 5.1, 'value3': 8.53}, {'boat_number': 4, 'racer_name': '桑原 将光', 'value1': 38.7, 'value2': 4.93, 'value3': 8.68}, {'boat_number': 5, 'racer_name': '吉村 誠', 'value1': 38.11, 'value2': 5.09, 'value3': 8.4}, {'boat_number': 6, 'racer_name': '水口 由紀', 'value1': 38.23, 'value2': 5.67, 'value3': 8.13}]"
2026-09-15,8,8,202609150808,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '孫崎 百世', 'value1': 37.56, 'value2': 5.6, 'value3': 7.11}, {'boat_number': 2, 'racer_name': '島田 なぎさ', 'value1': 38.07, 'value2': 5.83, 'value3': 7.2}, {'boat_number': 3, 'racer_name': '石村 日奈那', 'value1': 37.9, 'value2': 5.7, 'value3': 7.15}, {'boat_number': 4, 'racer_name': '倉持 莉々', 'value1': 37.81, 'value2': 5.76, 'value3': 7.16}, {'boat_number': 5, 'racer_name': '志賀 美優', 'value1': 38.02, 'value2': 5.98, 'value3': 7.12}, {'boat_number': 6, 'racer_name': '石原 凪紗', 'value1': 37.05, 'value2': 5.54, 'value3': 7.14}]"
2026-09-15,10,12,202609151012,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '尾上 雅也', 'value1': 36.87, 'value2': 5.53, 'value3': 6.73}, {'boat_number': 2, 'racer_name': '北川 潤二', 'value1': 37.1, 'value2': 5.57, 'value3': 6.72}, {'boat_number': 3, 'racer_name': '黄金井 力良', 'value1': 37.67, 'value2': 5.78, 'value3': 6.83}, {'boat_number': 4, 'racer_name': '富永 正人', 'value1': 36.98, 'value2': 5.9, 'value3': 6.67}, {'boat_number': 5, 'racer_name': '木谷 賢太', 'value1': 36.92, 'value2': 5.53, 'value3': 6.73}, {'boat_number': 6, 'racer_name': '若林 義人', 'value1': 37.33, 'value2': 6.13, 'value3': 6.77}]"
2026-09-15,4,8,202609150408,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '野間 大樹', 'value1': 37.53, 'value2': 5.67, 'value3': 7.57}, {'boat_number': 2, 'racer_name': '木下 陽介', 'value1': None, 'value2': None, 'value3': None}, {'boat_number': 3, 'racer_name': '石川 吉鎬', 'value1': 37.97, 'value2': 5.67, 'value3': 7.7}, {'boat_number': 4, 'racer_name': '桑原 啓', 'value1': 37.7, 'value2': 5.9, 'value3': 7.5}, {'boat_number': 5, 'racer_name': '小野 京平', 'value1': 37.77, 'value2': 5.6, 'value3': 7.6}, {'boat_number': 6, 'racer_name': '佐藤 大佑', 'value1': 38.27, 'value2': 5.9, 'value3': 7.7}]"
2026-09-15,11,9,202609151109,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '中村 有裕', 'value1': 37.43, 'value2': 5.87, 'value3': 8.13}, {'boat_number': 2, 'racer_name': '土屋 太朗', 'value1': 37.4, 'value2': 6.62, 'value3': 8.0}, {'boat_number': 3, 'racer_name': '宇野 弥生', 'value1': 37.69, 'value2': 6.31, 'value3': 8.04}, {'boat_number': 4, 'racer_name': '池田 雄一', 'value1': 37.93, 'value2': 6.33, 'value3': 8.07}, {'boat_number': 5, 'racer_name': '小川 時光', 'value1': 38.64, 'value2': 6.43, 'value3': 8.13}, {'boat_number': 6, 'racer_name': '中野 希一', 'value1': 37.73, 'value2': 6.21, 'value3': 7.93}]"
2026-09-15,14,12,202609151412,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '稲田 浩二', 'value1': 37.87, 'value2': 6.03, 'value3': 7.13}, {'boat_number': 2, 'racer_name': '益田 啓司', 'value1': 37.47, 'value2': 5.73, 'value3': 7.14}, {'boat_number': 3, 'racer_name': '馬袋 義則', 'value1': 37.37, 'value2': 5.73, 'value3': 7.22}, {'boat_number': 4, 'racer_name': '岡村 慶太', 'value1': 36.8, 'value2': 5.73, 'value3': 7.17}, {'boat_number': 5, 'racer_name': '烏野 賢太', 'value1': 37.97, 'value2': 5.87, 'value3': 7.19}, {'boat_number': 6, 'racer_name': '竹井 貴史', 'value1': 36.87, 'value2': 5.8, 'value3': 7.19}]"
2026-09-15,6,7,202609150607,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '東本 勝利', 'value1': 36.84, 'value2': 5.52, 'value3': 8.19}, {'boat_number': 2, 'racer_name': '渡辺 真至', 'value1': 37.87, 'value2': 5.24, 'value3': 8.27}, {'boat_number': 3, 'racer_name': '片橋 幸貴', 'value1': 37.78, 'value2': 5.56, 'value3': 8.24}, {'boat_number': 4, 'racer_name': '飯山 晃三', 'value1': 38.63, 'value2': 5.83, 'value3': 8.34}, {'boat_number': 5, 'racer_name': '出口 飛龍', 'value1': 37.98, 'value2': 5.43, 'value3': 8.23}, {'boat_number': 6, 'racer_name': '石田 章央', 'value1': 37.71, 'value2': 5.43, 'value3': 8.14}]"
