レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609081603,2026-09-08,16,03R,11:49,2026-09-08T11:40:27.438734+09:00,3,一周,まわり足,直線,三嶌 さらら,37.6,5.73,6.96,中山 将,37.87,5.5,6.97,山口 亮,37.9,5.73,7.07,末永 由楽,37.7,5.83,7.0,森 陽多,37.93,6.0,6.9,永井 源,37.6,5.87,6.9
202609081008,2026-09-08,10,08R,11:51,2026-09-08T11:42:22.261410+09:00,3,一周,まわり足,直線,中本 大樹,37.65,5.77,6.78,田中 太一郎,38.15,5.92,6.83,多田 有佑,37.7,5.88,6.77,前田 健太郎,38.03,5.88,6.95,山崎 鉄平,37.92,6.0,6.8,坂口 諒宗,37.1,5.55,6.83
202609080403,2026-09-08,04,03R,11:53,2026-09-08T11:44:20.829692+09:00,3,一周,まわり足,直線,田中 瀬里奈,37.57,5.74,7.54,来田 衣織,37.87,6.21,7.45,藤井 太雅,37.77,5.73,7.5,平山 智加,37.84,6.0,7.53,土屋 実沙希,38.51,5.89,7.57,谷島 咲希,38.18,6.6,7.32
202609081304,2026-09-08,13,04R,11:59,2026-09-08T11:50:27.052141+09:00,2,一周,まわり足,,富山 弘幸,37.18,11.55,,岩崎 正哉,37.73,11.74,,松本 浩貴,38.55,11.97,,古結 宏,37.77,11.67,,村上 功祐,37.27,11.6,,伊藤 啓三,38.02,11.85,
202609081104,2026-09-08,11,04R,12:03,2026-09-08T11:54:21.915629+09:00,3,一周,まわり足,直線,仲 航太,37.73,5.73,8.12,土井 歩夢,37.67,5.73,8.13,大島 隆乃介,37.8,5.96,8.07,原田 朱理,38.22,6.07,8.1,廣瀬 凜,37.71,5.93,8.0,宇留田 翔平,37.88,6.06,8.1
202609081408,2026-09-08,14,08R,12:05,2026-09-08T11:56:26.472626+09:00,3,一周,まわり足,直線,柴田 愛梨,37.78,5.83,7.3,西岡 育未,37.93,6.33,7.06,今井 美亜,37.91,5.8,7.31,樫葉 新心,37.4,5.67,7.29,加藤 奈月,37.94,5.93,7.39,北村 寧々,37.83,6.4,7.03
202609080904,2026-09-08,09,04R,12:13,2026-09-08T12:04:24.319647+09:00,3,一周,まわり足,直線,井上 一輝,37.0,4.67,8.8,大池 佑来,37.6,4.83,8.73,豊田 健士郎,37.46,4.81,8.6,渡辺 浩司,37.76,4.81,8.57,黒井 達矢,38.3,5.0,8.57,澤田 尚也,38.13,5.0,8.6
202609081604,2026-09-08,16,04R,12:20,2026-09-08T12:10:29.978434+09:00,3,一周,まわり足,直線,中嶋 達也,37.9,6.57,6.73,増本 杏珠,38.0,6.27,6.97,横川 聖志,38.37,5.97,7.07,渋谷 明憲,37.27,5.83,7.03,青木 幸太郎,37.8,5.83,7.0,高橋 嗣穏,37.77,5.7,7.03
202609080404,2026-09-08,04,04R,12:22,2026-09-08T12:12:25.025492+09:00,3,一周,まわり足,直線,湯淺 紀香,37.79,5.61,7.53,土屋 蘭,38.04,5.83,7.43,登 みひ果,37.99,6.14,7.47,村上 奈穂,37.91,6.13,7.66,長田 頼宗,37.63,5.77,7.57,池田 奈津美,37.93,5.78,7.7
202609081009,2026-09-08,10,09R,12:25,2026-09-08T12:16:28.678797+09:00,3,一周,まわり足,直線,中渡 修作,37.88,5.83,6.9,中村 将隆,37.65,5.8,6.8,杉山 勝匡,38.4,5.9,6.87,岸本 雄貴,38.45,6.02,6.87,井上 茂,38.22,5.9,6.82,北川 太一,37.28,5.52,6.83
202609081305,2026-09-08,13,05R,12:28,2026-09-08T12:18:25.950547+09:00,2,一周,まわり足,,山川 雄大,37.82,11.64,,金田 諭,37.5,11.59,,上村 慎太郎,38.89,11.97,,佐藤 謙史朗,37.65,11.71,,河村 了,37.79,11.8,,小野寺 智洋,37.94,11.77,
202609081105,2026-09-08,11,05R,12:32,2026-09-08T12:22:19.615035+09:00,3,一周,まわり足,直線,水谷 理人,37.19,5.61,8.27,藤本 元輝,37.97,6.07,8.5,丸山 祐也,38.54,6.33,8.42,藤田 俊祐,38.9,6.17,8.27,藤原 仙二,38.25,6.13,8.2,藤井 公人,38.0,5.87,8.3
202609081409,2026-09-08,14,09R,12:38,2026-09-08T12:28:25.777396+09:00,3,一周,まわり足,直線,前田 紗希,37.17,6.03,7.07,古賀 千晶,38.77,5.93,7.23,水野 望美,38.13,5.87,7.27,赤井 睦,38.0,6.03,7.23,藤本 紗弥香,37.83,5.9,7.27,原田 佑実,37.23,6.53,7.03
202609080905,2026-09-08,09,05R,12:44,2026-09-08T12:34:24.103412+09:00,3,一周,まわり足,直線,井口 佳典,37.41,4.54,8.83,尾嶋 一広,37.54,4.72,8.63,鎌倉 涼,38.1,5.03,8.49,川原 祐明,37.63,5.16,8.5,渡邉 和将,37.63,5.07,8.43,中田 竜太,37.8,4.83,8.8
202609081605,2026-09-08,16,05R,12:50,2026-09-08T12:40:21.635350+09:00,3,一周,まわり足,直線,松山 将吾,36.9,5.93,6.9,滝川 真由子,37.6,6.0,7.03,松尾 充,37.8,5.67,7.03,井上 大輔,38.0,5.87,6.97,坂井 滉哉,38.67,6.17,7.0,小林 文彦,38.2,5.9,7.03
202609080405,2026-09-08,04,05R,12:52,2026-09-08T12:42:20.954552+09:00,3,一周,まわり足,直線,植竹 玲奈,37.4,5.47,7.48,中村 かなえ,37.57,5.67,7.53,金田 幸子,37.7,5.67,7.61,真子 奈津実,37.73,5.77,7.61,佐藤 隆太郎,37.16,5.54,7.47,瀧川 千依,37.67,5.77,7.47
202609081306,2026-09-08,13,06R,12:56,2026-09-08T12:46:21.707491+09:00,2,一周,まわり足,,出畑 孝典,37.18,11.55,,樋口 喜彦,37.73,11.61,,黒田 剛,37.97,11.76,,前田 翔,38.15,11.79,,川崎 誠志,38.54,11.85,,米田 隆弘,38.28,12.07,
202609081010,2026-09-08,10,10R,12:58,2026-09-08T12:48:25.561721+09:00,3,一周,まわり足,直線,熊本 英一,37.7,5.83,6.8,森 智也,37.67,5.7,6.87,吉島 祥之,37.93,5.85,6.8,島村 隆幸,37.3,5.62,6.85,香川 颯太,36.85,5.52,6.83,百武 翔,37.4,5.62,6.8
202609081106,2026-09-08,11,06R,13:01,2026-09-08T12:52:27.064492+09:00,3,一周,まわり足,直線,数原 魁,38.06,5.83,8.23,小林 礼央,37.73,5.8,8.2,垂水 悠,37.58,5.93,8.0,笹木 香吾,37.5,5.81,8.13,長谷川 晴哉,38.27,6.09,8.37,山下 拓巳,37.91,6.06,8.13
202609081410,2026-09-08,14,10R,13:09,2026-09-08T13:00:44.026144+09:00,3,一周,まわり足,直線,深尾 巴恵,38.1,6.03,7.13,魚谷 香織,37.77,5.83,7.2,森下 愛梨,38.33,6.07,7.4,米丸 乃絵,37.57,5.73,7.3,安井 瑞紀,38.0,6.07,7.23,薗頭 心,37.13,5.87,7.17
202609080406,2026-09-08,04,06R,13:22,2026-09-08T13:12:19.568700+09:00,3,一周,まわり足,直線,中曽 瑠華,37.3,5.63,7.6,黒澤 めぐみ,37.5,5.74,7.47,櫻本 あゆみ,37.76,6.09,7.6,樋口 由加里,37.77,5.77,7.6,小川 時光,37.8,6.1,7.61,落合 直子,37.92,5.93,7.47
202609081307,2026-09-08,13,07R,13:25,2026-09-08T13:16:25.235956+09:00,2,一周,まわり足,,齊藤 優,37.44,11.72,,室田 泰史,37.69,11.63,,向所 浩二,37.91,11.77,,渡邊 雄一郎,37.87,11.96,,富永 夏哉人,38.02,12.02,,大神 康司,38.38,12.0,
202609081606,2026-09-08,16,06R,13:27,2026-09-08T13:18:23.723987+09:00,3,一周,まわり足,直線,渡邊 伸太郎,37.3,5.87,6.97,池永 太,38.0,6.47,6.9,古川 誠之,38.0,6.2,6.93,古賀 智之,37.93,5.6,7.1,永田 義紘,37.57,5.93,6.97,大廣 咲季,37.67,6.2,6.9
202609081011,2026-09-08,10,11R,13:33,2026-09-08T13:24:23.615875+09:00,3,一周,まわり足,直線,大橋 純一郎,37.35,5.58,6.82,久永 祥平,37.68,5.95,6.78,平見 真彦,37.83,5.93,6.85,長谷川 雅和,38.07,6.05,6.8,戸塚 邦好,37.53,5.75,6.77,萩原 秀人,37.38,5.53,6.73
202609081107,2026-09-08,11,07R,13:38,2026-09-08T13:28:20.946024+09:00,3,一周,まわり足,直線,渡邊 雄斗,37.33,5.73,8.27,金子 龍斗,38.2,6.0,8.34,楠 将太郎,38.01,5.96,8.08,吉田 一心,38.1,6.27,8.03,竹下 大樹,37.38,5.93,7.9,鳥居塚 嶺王,37.7,5.96,8.04
202609080907,2026-09-08,09,07R,13:46,2026-09-08T13:36:22.030594+09:00,3,一周,まわり足,直線,遠藤 エミ,37.47,4.5,8.87,下出 卓矢,39.11,4.83,9.03,春園 功太,37.93,4.77,8.95,佐々木 完太,37.99,5.5,8.94,白神 優,38.09,5.15,8.74,中村 晃朋,38.15,5.03,8.66
202609081411,2026-09-08,14,11R,13:49,2026-09-08T13:40:21.531457+09:00,3,一周,まわり足,直線,千葉 真弥,37.37,5.97,7.1,奥村 明日香,37.52,5.66,7.17,小野 生奈,37.53,5.67,7.24,喜多須 杏奈,37.52,6.28,7.13,西澤 日花里,37.63,6.23,7.27,後藤 美翼,37.14,5.96,7.12
