レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609151112,2026-09-15,11,びわこ,12R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選特選,16:14,
202609151201,2026-09-15,12,住之江,1R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,15:17,
202609151202,2026-09-15,12,住之江,2R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,15:42,
202609151203,2026-09-15,12,住之江,3R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,16:08,
202609151204,2026-09-15,12,住之江,4R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,16:33,
202609151205,2026-09-15,12,住之江,5R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,住之江ファイブ,17:01,
202609151206,2026-09-15,12,住之江,6R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,17:31,
202609151207,2026-09-15,12,住之江,7R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,17:57,
202609151208,2026-09-15,12,住之江,8R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,18:25,
202609151209,2026-09-15,12,住之江,9R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,準優勝戦,18:54,
202609151210,2026-09-15,12,住之江,10R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,準優勝戦,19:24,
202609151211,2026-09-15,12,住之江,11R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,準優勝戦,19:57,
202609151212,2026-09-15,12,住之江,12R,報知新聞社賞第６２回ダイナミック敢闘旗,５日目,IP,N,一般戦,20:30,
202609151401,2026-09-15,14,鳴門,1R,アペックス杯競走,初　日,IP,M,とるならなると,08:44,
202609151402,2026-09-15,14,鳴門,2R,アペックス杯競走,初　日,IP,M,どーなるなると,09:10,
202609151403,2026-09-15,14,鳴門,3R,アペックス杯競走,初　日,IP,M,どきどきなると,09:36,
202609151404,2026-09-15,14,鳴門,4R,アペックス杯競走,初　日,IP,M,とにかくなると,10:02,
202609151405,2026-09-15,14,鳴門,5R,アペックス杯競走,初　日,IP,M,予選,10:28,
202609151406,2026-09-15,14,鳴門,6R,アペックス杯競走,初　日,IP,M,予選,11:00,
202609151407,2026-09-15,14,鳴門,7R,アペックス杯競走,初　日,IP,M,予選,11:31,
202609151408,2026-09-15,14,鳴門,8R,アペックス杯競走,初　日,IP,M,予選,12:05,
202609151409,2026-09-15,14,鳴門,9R,アペックス杯競走,初　日,IP,M,特賞,12:35,
202609151410,2026-09-15,14,鳴門,10R,アペックス杯競走,初　日,IP,M,特賞,13:11,
202609151411,2026-09-15,14,鳴門,11R,アペックス杯競走,初　日,IP,M,特選,13:48,
202609151412,2026-09-15,14,鳴門,12R,アペックス杯競走,初　日,IP,M,ドリーム戦,14:28,
202609151801,2026-09-15,18,徳山,1R,ダイヤモンドカップ,４日目,G1,D,予選,10:38,
202609151802,2026-09-15,18,徳山,2R,ダイヤモンドカップ,４日目,G1,D,予選,11:08,
202609151803,2026-09-15,18,徳山,3R,ダイヤモンドカップ,４日目,G1,D,予選,11:38,
202609151804,2026-09-15,18,徳山,4R,ダイヤモンドカップ,４日目,G1,D,予選,12:10,
202609151805,2026-09-15,18,徳山,5R,ダイヤモンドカップ,４日目,G1,D,予選,12:43,
202609151806,2026-09-15,18,徳山,6R,ダイヤモンドカップ,４日目,G1,D,予選,13:14,
202609151807,2026-09-15,18,徳山,7R,ダイヤモンドカップ,４日目,G1,D,予選,13:45,
202609151808,2026-09-15,18,徳山,8R,ダイヤモンドカップ,４日目,G1,D,予選,14:17,
202609151809,2026-09-15,18,徳山,9R,ダイヤモンドカップ,４日目,G1,D,予選,14:50,
202609151810,2026-09-15,18,徳山,10R,ダイヤモンドカップ,４日目,G1,D,予選,15:24,
202609151811,2026-09-15,18,徳山,11R,ダイヤモンドカップ,４日目,G1,D,予選,16:00,
202609151812,2026-09-15,18,徳山,12R,ダイヤモンドカップ,４日目,G1,D,予選,16:38,
202609151901,2026-09-15,19,下関,1R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,15:28,
202609151902,2026-09-15,19,下関,2R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,15:54,
202609151903,2026-09-15,19,下関,3R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,16:23,
202609151904,2026-09-15,19,下関,4R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,16:50,
202609151905,2026-09-15,19,下関,5R,山口朝日放送ビープくんカップ,３日目,IP,N,シーモ戦,17:22,
202609151906,2026-09-15,19,下関,6R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,17:51,
202609151907,2026-09-15,19,下関,7R,山口朝日放送ビープくんカップ,３日目,IP,N,ふく〜る特賞,18:18,
202609151908,2026-09-15,19,下関,8R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,18:46,
202609151909,2026-09-15,19,下関,9R,山口朝日放送ビープくんカップ,３日目,IP,N,予選,19:16,
202609151910,2026-09-15,19,下関,10R,山口朝日放送ビープくんカップ,３日目,IP,N,一般特賞,19:48,
202609151911,2026-09-15,19,下関,11R,山口朝日放送ビープくんカップ,３日目,IP,N,一般特選,20:16,
202609151912,2026-09-15,19,下関,12R,山口朝日放送ビープくんカップ,３日目,IP,N,一般シーボー選,20:45,
202609152001,2026-09-15,20,若松,1R,唐十杯,最終日,IP,N,一般戦,15:22,
202609152002,2026-09-15,20,若松,2R,唐十杯,最終日,IP,N,一般戦,15:50,
202609152003,2026-09-15,20,若松,3R,唐十杯,最終日,IP,N,一般戦,16:16,
202609152004,2026-09-15,20,若松,4R,唐十杯,最終日,IP,N,一般戦,16:46,
202609152005,2026-09-15,20,若松,5R,唐十杯,最終日,IP,N,進入固定戦隊,17:15,
202609152006,2026-09-15,20,若松,6R,唐十杯,最終日,IP,N,一般戦,17:44,
202609152007,2026-09-15,20,若松,7R,唐十杯,最終日,IP,N,一般戦,18:11,
202609152008,2026-09-15,20,若松,8R,唐十杯,最終日,IP,N,エイトビート,18:39,
202609152009,2026-09-15,20,若松,9R,唐十杯,最終日,IP,N,一般特選,19:09,
202609152010,2026-09-15,20,若松,10R,唐十杯,最終日,IP,N,選抜戦,19:40,
202609152011,2026-09-15,20,若松,11R,唐十杯,最終日,IP,N,選抜戦,20:10,
202609152012,2026-09-15,20,若松,12R,唐十杯,最終日,IP,N,優勝戦,20:40,
202609152201,2026-09-15,22,福岡,1R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,カタメン１予選,11:47,
202609152202,2026-09-15,22,福岡,2R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,12:16,
202609152203,2026-09-15,22,福岡,3R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,カタメン３予選,12:48,
202609152204,2026-09-15,22,福岡,4R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,13:19,
202609152205,2026-09-15,22,福岡,5R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,13:44,
202609152206,2026-09-15,22,福岡,6R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,14:15,
202609152207,2026-09-15,22,福岡,7R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,14:45,
202609152208,2026-09-15,22,福岡,8R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選,15:15,
202609152209,2026-09-15,22,福岡,9R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選特賞,15:58,
202609152210,2026-09-15,22,福岡,10R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選特賞,16:30,
202609152211,2026-09-15,22,福岡,11R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,予選特選,16:57,
202609152212,2026-09-15,22,福岡,12R,にっぽん未来プロジェクト競走ｉｎ福岡,３日目,IP,S,福岡選抜,17:27,
