レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609140701,2026-09-14,07,01R,15:19,2026-09-14T15:10:27.839562+09:00,1309,1.0,5,0.0,3,26.0,24.0
202609140210,2026-09-14,02,10R,15:21,2026-09-14T15:12:26.045774+09:00,1451,3.0,5,1.0,1,30.0,26.0
202609142001,2026-09-14,20,01R,15:22,2026-09-14T15:12:26.045774+09:00,1400,2.0,7,2.0,2,23.0,26.0
202609141810,2026-09-14,18,10R,15:24,2026-09-14T15:14:27.796965+09:00,1453,3.0,5,3.0,2,29.0,28.0
202609141901,2026-09-14,19,01R,15:27,2026-09-14T15:18:27.932736+09:00,1400,3.0,3,3.0,2,24.0,27.0
202609140410,2026-09-14,04,10R,15:29,2026-09-14T15:20:28.547123+09:00,1459,6.0,5,5.0,2,29.0,26.0
202609141111,2026-09-14,11,11R,15:33,2026-09-14T15:24:23.186165+09:00,1503,2.0,3,2.0,2,23.0,27.0
202609140609,2026-09-14,06,09R,15:36,2026-09-14T15:26:23.132405+09:00,1507,1.0,3,0.0,2,27.0,27.0
202609140911,2026-09-14,09,11R,15:41,2026-09-14T15:32:25.181291+09:00,1511,2.0,4,1.0,3,26.0,26.0
202609141202,2026-09-14,12,02R,15:42,2026-09-14T15:32:25.181291+09:00,1359,2.0,1,1.0,2,30.0,27.0
202609140702,2026-09-14,07,02R,15:48,2026-09-14T15:38:19.046917+09:00,1309,1.0,5,0.0,3,26.0,24.0
202609140811,2026-09-14,08,11R,15:47,2026-09-14T15:38:19.046917+09:00,1516,3.0,4,1.0,2,26.0,28.0
202609142002,2026-09-14,20,02R,15:50,2026-09-14T15:40:24.243613+09:00,1525,1.0,6,1.0,3,21.0,26.0
202609142209,2026-09-14,22,09R,15:52,2026-09-14T15:42:26.821336+09:00,1517,1.0,5,2.0,3,26.0,27.0
202609141902,2026-09-14,19,02R,15:53,2026-09-14T15:44:30.037060+09:00,1530,1.0,1,1.0,3,22.0,27.0
202609140211,2026-09-14,02,11R,15:55,2026-09-14T15:46:23.662478+09:00,1524,3.0,5,2.0,2,30.0,26.0
202609141811,2026-09-14,18,11R,16:00,2026-09-14T15:50:25.567831+09:00,1527,3.0,6,3.0,2,29.0,28.0
202609140411,2026-09-14,04,11R,16:03,2026-09-14T15:54:25.452226+09:00,1532,5.0,5,4.0,1,30.0,26.0
202609140610,2026-09-14,06,10R,16:06,2026-09-14T15:56:18.752365+09:00,1540,1.0,4,0.0,2,27.0,27.0
202609141203,2026-09-14,12,03R,16:08,2026-09-14T15:58:26.794316+09:00,1545,0.0,,1.0,2,30.0,27.0
202609140703,2026-09-14,07,03R,16:12,2026-09-14T16:02:23.053567+09:00,1523,2.0,4,1.0,2,26.0,24.0
202609141112,2026-09-14,11,12R,16:14,2026-09-14T16:04:26.615878+09:00,1536,1.0,3,1.0,2,23.0,27.0
202609142003,2026-09-14,20,03R,16:16,2026-09-14T16:06:23.135562+09:00,1525,1.0,6,1.0,3,21.0,26.0
202609142210,2026-09-14,22,10R,16:18,2026-09-14T16:08:27.659531+09:00,1517,1.0,5,2.0,3,26.0,27.0
202609140912,2026-09-14,09,12R,16:20,2026-09-14T16:10:25.662197+09:00,1545,2.0,4,1.0,2,26.0,26.0
202609141903,2026-09-14,19,03R,16:22,2026-09-14T16:12:21.930124+09:00,1556,1.0,1,1.0,3,22.0,27.0
202609140812,2026-09-14,08,12R,16:25,2026-09-14T16:16:22.515016+09:00,1551,3.0,4,1.0,2,27.0,28.0
202609140212,2026-09-14,02,12R,16:30,2026-09-14T16:20:26.064981+09:00,1558,3.0,5,1.0,2,30.0,26.0
202609141204,2026-09-14,12,04R,16:34,2026-09-14T16:24:22.639265+09:00,1545,0.0,,1.0,2,30.0,27.0
202609140611,2026-09-14,06,11R,16:36,2026-09-14T16:26:22.159064+09:00,1610,0.0,,0.0,2,27.0,27.0
202609141812,2026-09-14,18,12R,16:38,2026-09-14T16:28:24.728110+09:00,1603,3.0,7,3.0,2,29.0,28.0
202609140704,2026-09-14,07,04R,16:40,2026-09-14T16:30:36.801710+09:00,1616,2.0,3,1.0,2,27.0,24.0
202609140412,2026-09-14,04,12R,16:44,2026-09-14T16:34:22.847790+09:00,1606,8.0,5,5.0,1,29.0,26.0
202609142004,2026-09-14,20,04R,16:46,2026-09-14T16:36:22.714131+09:00,1619,1.0,5,1.0,3,21.0,26.0
202609141904,2026-09-14,19,04R,16:50,2026-09-14T16:40:29.184616+09:00,1625,1.0,1,1.0,3,21.0,27.0
202609142211,2026-09-14,22,11R,16:56,2026-09-14T16:46:20.225494+09:00,1621,2.0,5,2.0,1,25.0,27.0
202609141205,2026-09-14,12,05R,17:01,2026-09-14T16:52:19.548358+09:00,1637,1.0,1,1.0,1,30.0,28.0
202609140612,2026-09-14,06,12R,17:06,2026-09-14T16:56:18.478311+09:00,1640,0.0,,0.0,3,26.0,27.0
202609140705,2026-09-14,07,05R,17:08,2026-09-14T16:58:26.561868+09:00,1616,2.0,3,1.0,2,27.0,24.0
202609142005,2026-09-14,20,05R,17:15,2026-09-14T17:06:25.535785+09:00,1649,1.0,3,1.0,2,21.0,26.0
202609141905,2026-09-14,19,05R,17:22,2026-09-14T17:12:29.199530+09:00,1653,1.0,1,1.0,3,21.0,27.0
202609142212,2026-09-14,22,12R,17:27,2026-09-14T17:18:18.644472+09:00,1659,2.0,5,2.0,2,25.0,27.0
202609141206,2026-09-14,12,06R,17:31,2026-09-14T17:22:21.538357+09:00,1704,0.0,,1.0,2,30.0,28.0
202609140706,2026-09-14,07,06R,17:37,2026-09-14T17:28:23.085004+09:00,1712,2.0,3,1.0,2,26.0,24.0
202609142006,2026-09-14,20,06R,17:44,2026-09-14T17:34:22.400705+09:00,1718,0.0,,1.0,2,21.0,26.0
202609141906,2026-09-14,19,06R,17:51,2026-09-14T17:42:21.974370+09:00,1725,1.0,4,1.0,3,21.0,27.0
202609141207,2026-09-14,12,07R,17:57,2026-09-14T17:48:26.210852+09:00,1704,0.0,,1.0,2,30.0,28.0
202609140707,2026-09-14,07,07R,18:04,2026-09-14T17:54:20.514743+09:00,1741,2.0,3,1.0,2,26.0,24.0
202609142007,2026-09-14,20,07R,18:11,2026-09-14T18:02:33.364637+09:00,1747,0.0,,1.0,2,21.0,26.0
202609141907,2026-09-14,19,07R,18:18,2026-09-14T18:08:27.986000+09:00,1754,1.0,4,1.0,2,21.0,27.0
202609141208,2026-09-14,12,08R,18:25,2026-09-14T18:16:21.812536+09:00,1800,1.0,2,1.0,2,29.0,28.0
202609140708,2026-09-14,07,08R,18:32,2026-09-14T18:22:22.202172+09:00,1741,2.0,3,1.0,2,26.0,24.0
202609142008,2026-09-14,20,08R,18:39,2026-09-14T18:30:32.948125+09:00,1814,1.0,1,1.0,2,22.0,26.0
202609141908,2026-09-14,19,08R,18:46,2026-09-14T18:36:25.068122+09:00,1754,1.0,4,1.0,2,21.0,27.0
202609141209,2026-09-14,12,09R,18:54,2026-09-14T18:44:26.113493+09:00,1828,2.0,5,1.0,2,29.0,28.0
202609140709,2026-09-14,07,09R,19:02,2026-09-14T18:52:23.860301+09:00,1836,2.0,3,1.0,3,26.0,24.0
202609142009,2026-09-14,20,09R,19:09,2026-09-14T19:00:49.555535+09:00,1842,0.0,,1.0,2,22.0,26.0
202609141909,2026-09-14,19,09R,19:16,2026-09-14T19:06:27.574429+09:00,1849,1.0,4,1.0,2,21.0,27.0
202609141210,2026-09-14,12,10R,19:24,2026-09-14T19:14:22.429198+09:00,1828,2.0,5,1.0,2,29.0,28.0
202609140710,2026-09-14,07,10R,19:32,2026-09-14T19:22:27.753571+09:00,1906,2.0,3,1.0,2,26.0,24.0
202609142010,2026-09-14,20,10R,19:40,2026-09-14T19:30:27.639734+09:00,1912,1.0,1,1.0,2,22.0,26.0
202609141910,2026-09-14,19,10R,19:48,2026-09-14T19:38:27.618801+09:00,1919,1.0,4,1.0,2,21.0,27.0
202609141211,2026-09-14,12,11R,19:57,2026-09-14T19:48:20.205830+09:00,1927,0.0,,1.0,2,29.0,28.0
202609140711,2026-09-14,07,11R,20:04,2026-09-14T19:54:19.143232+09:00,1936,1.0,3,0.0,2,26.0,24.0
202609142011,2026-09-14,20,11R,20:10,2026-09-14T20:00:47.666323+09:00,1943,1.0,1,1.0,2,22.0,26.0
202609141911,2026-09-14,19,11R,20:16,2026-09-14T20:06:22.377521+09:00,1951,1.0,4,1.0,2,21.0,27.0
202609141212,2026-09-14,12,12R,20:30,2026-09-14T20:20:27.752792+09:00,2000,2.0,1,1.0,2,28.0,28.0
