登録番号,重み付き和,重み付き二乗和,重み計,基準日
5006,4.514083167,0.9338734538,25.238599231,2026-09-12
5007,3.7734547356,0.849978682,20.9132806999,2026-09-12
5008,2.7150578483,0.3865139689,22.6300372675,2026-09-12
5009,3.4220252131,0.7536259018,17.8665958883,2026-09-12
5010,3.8057538668,0.6186680812,27.0559462262,2026-09-12
5011,3.6473660372,0.6796287364,23.5849206779,2026-09-12
5012,3.7802079792,0.714688419,24.1408045071,2026-09-12
5013,2.0179810423,0.3321674545,14.8679082227,2026-09-12
5014,2.6237113201,0.4899946211,15.8442150555,2026-09-12
5015,4.2740948018,0.6072090044,33.5310300971,2026-09-12
5016,4.1592834974,0.6833095596,31.4980846382,2026-09-12
5017,4.7969086493,0.7678420802,37.6190989483,2026-09-12
5018,5.1184804168,0.8406702016,36.0901569042,2026-09-12
5019,0.4351760034,0.0746831818,3.1837780817,2026-09-12
5020,4.2717810268,0.9092927978,24.9651176772,2026-09-12
5022,3.5408364654,0.6469633989,22.1229549212,2026-09-12
5023,4.8276308313,0.9579889518,29.026772634,2026-09-12
5026,5.5173420543,1.1304464094,34.2198306843,2026-09-12
5027,1.7495424942,0.3368265447,10.2886778162,2026-09-12
5028,5.6945653609,1.0296279734,41.2750319315,2026-09-12
5029,4.7457607755,0.7555098407,35.275590431,2026-09-12
5031,3.4982919548,0.63667372,23.9442484466,2026-09-12
5032,4.3953105253,0.8005147065,29.0241696701,2026-09-12
5033,4.5269699525,0.998980298,23.9553681392,2026-09-12
5034,4.5734297593,0.7026203728,36.4354816571,2026-09-12
5035,4.9625849786,0.8992899131,32.0588612311,2026-09-12
5036,4.3210251721,0.6364495251,35.6475193182,2026-09-12
5037,4.1619209591,0.8040118978,24.609551834,2026-09-12
5038,4.3383351539,0.7264081534,31.6568687994,2026-09-12
5039,2.3977631787,0.4903443121,13.7797811245,2026-09-12
5041,4.4053165761,1.0153203865,22.5356352781,2026-09-12
5042,3.4713776899,0.5554142792,24.6213081762,2026-09-12
5043,3.9749798333,0.6065105855,30.2221745946,2026-09-12
5044,2.6529805395,0.4483870946,19.2506064552,2026-09-12
5045,3.5780379263,0.7713816779,18.4307589373,2026-09-12
5046,3.0342948944,0.6742701169,15.2088834526,2026-09-12
5047,5.18228849,1.0876895798,31.5584215305,2026-09-12
5048,4.7179801491,1.0541604041,26.1156860227,2026-09-12
5049,2.935825151,0.5423369736,18.3363240021,2026-09-12
5050,3.7898879307,0.6077688499,27.2548954967,2026-09-12
5051,3.405788381,0.5439807854,26.1882811342,2026-09-12
5052,2.6023050563,0.5258651595,17.1314973056,2026-09-12
5053,4.8319937853,1.0037030107,26.538884702,2026-09-12
5054,2.5471243913,0.4022131654,20.2335441644,2026-09-12
5055,2.7125135737,0.4627512036,20.0780117838,2026-09-12
5056,2.8587466157,0.4888161298,19.0191708729,2026-09-12
5057,3.8973386097,0.703745239,24.9106239374,2026-09-12
