記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-10,14,68,6,37,24.439746,17.640645,33.859374,0.171282,0.132229
2026-09-10,14,69,6,42,26.265761,17.738164,38.892986,-0.297325,-0.236514
2026-09-10,14,70,5,30,18.701044,12.669447,27.604129,-0.351664,-0.258146
2026-09-10,14,71,5,33,21.123921,14.787829,30.174818,-0.02093,-0.01572
2026-09-10,14,73,5,27,18.690256,14.374035,24.302547,-0.035171,-0.024918
2026-09-10,14,74,6,40,24.844496,17.123741,36.046387,-0.253394,-0.198364
2026-09-10,14,75,6,36,23.436486,16.786439,32.720987,-0.052056,-0.039871
2026-09-10,14,76,6,38,23.147676,15.503155,34.561668,0.07658,0.059395
2026-09-10,14,78,6,38,24.101616,16.857809,34.458089,0.216406,0.167729
2026-09-10,14,79,5,32,19.757135,13.2144,29.53932,-0.108346,-0.080944
2026-09-10,14,80,6,41,23.313325,14.585053,37.264939,-0.249611,-0.1968
2026-09-10,14,83,6,38,25.663841,18.53287,35.538626,-0.306113,-0.238893
2026-09-10,14,84,5,30,18.856918,13.377937,26.579835,-0.10514,-0.076397
2026-09-10,16,11,6,43,27.88243,18.975344,40.97053,-0.081716,-0.065684
2026-09-10,16,12,6,39,26.583304,19.124347,36.951433,-0.321466,-0.252999
2026-09-10,16,14,6,42,29.211244,21.652023,39.409563,-0.030298,-0.024166
2026-09-10,16,15,6,41,27.982348,20.590349,38.028097,-0.158329,-0.125363
2026-09-10,16,16,6,45,32.834465,24.774705,43.516242,0.377154,0.30668
2026-09-10,16,17,6,44,29.397508,20.424279,42.313047,-0.261933,-0.211863
2026-09-10,16,18,6,43,28.914143,20.570069,40.642919,-0.301849,-0.242245
2026-09-10,16,20,6,42,27.658421,19.613319,39.00351,0.189326,0.150691
2026-09-10,16,21,6,47,32.416699,23.923703,43.924739,-0.015807,-0.012875
2026-09-10,16,22,6,43,29.016603,20.790816,40.496884,0.077908,0.062479
2026-09-10,16,23,6,43,28.611567,20.239478,40.446782,-0.316038,-0.253391
2026-09-10,16,24,6,44,29.336827,20.343611,42.305637,-0.159242,-0.128797
2026-09-10,16,25,6,40,27.941902,20.739228,37.646044,0.030528,0.024121
2026-09-10,16,26,6,43,27.644604,18.716215,40.832195,-0.166282,-0.13357
2026-09-10,16,27,6,39,24.971926,17.280004,36.087787,-0.007862,-0.006156
