レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609140802,2026-09-14,08,2R,daily,3-1-4,3-1-2,3-1-5,4-1-3,2-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202609140802,2026-09-14,08,2R,realtime,3-1-4,3-1-2,3-1-5,4-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609140803,2026-09-14,08,3R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609140803,2026-09-14,08,3R,realtime,3-1-2,3-2-1,3-1-4,2-1-3,2-3-1,差し,差し,差し,まくり差し,まくり
202609140804,2026-09-14,08,4R,daily,2-1-3,2-1-5,2-1-4,2-3-1,2-5-1,差し,差し,差し,差し,差し
202609140804,2026-09-14,08,4R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609140805,2026-09-14,08,5R,daily,2-1-4,2-1-3,2-1-5,2-1-6,6-1-2,差し,差し,差し,差し,まくり差し
202609140805,2026-09-14,08,5R,realtime,2-1-4,2-1-3,2-1-5,2-1-6,4-1-2,差し,差し,差し,差し,まくり
202609140806,2026-09-14,08,6R,daily,3-1-4,3-1-2,2-1-4,4-1-2,3-1-5,まくり差し,まくり差し,差し,まくり,まくり差し
202609140806,2026-09-14,08,6R,realtime,4-1-2,4-1-5,5-1-4,2-1-4,3-1-4,まくり,まくり差し,まくり差し,差し,まくり差し
202609140807,2026-09-14,08,7R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609140807,2026-09-14,08,7R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202609140808,2026-09-14,08,8R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202609140808,2026-09-14,08,8R,realtime,2-1-4,2-1-3,2-4-1,2-1-5,2-3-4,差し,差し,差し,差し,まくり
202609140809,2026-09-14,08,9R,daily,2-1-4,2-1-3,4-1-2,6-1-2,4-1-6,差し,差し,まくり,まくり差し,まくり
202609140809,2026-09-14,08,9R,realtime,6-1-2,6-1-4,2-1-4,4-1-2,6-2-1,まくり差し,まくり差し,差し,まくり,まくり差し
202609140810,2026-09-14,08,10R,daily,3-1-4,3-1-2,3-1-5,6-1-2,6-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609140811,2026-09-14,08,11R,daily,4-1-2,4-1-5,4-1-3,4-1-6,2-1-4,まくり,まくり差し,差し,まくり,差し
202609140812,2026-09-14,08,12R,daily,3-1-4,3-1-2,2-1-3,3-1-5,4-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202609140901,2026-09-14,09,1R,daily,3-1-4,3-1-2,2-1-3,2-1-4,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202609140901,2026-09-14,09,1R,realtime,3-1-2,2-1-3,3-1-5,3-1-4,2-1-5,まくり差し,差し,まくり差し,まくり差し,差し
202609140902,2026-09-14,09,2R,daily,2-1-3,2-1-4,3-1-2,2-1-5,5-1-2,差し,差し,まくり差し,差し,まくり差し
202609140902,2026-09-14,09,2R,realtime,2-1-5,2-1-3,2-1-4,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し
202609140903,2026-09-14,09,3R,daily,3-1-4,3-1-2,3-1-5,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202609140903,2026-09-14,09,3R,realtime,3-1-4,3-1-2,3-1-5,4-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609140904,2026-09-14,09,4R,daily,4-1-2,4-1-5,2-1-4,2-1-3,4-1-3,まくり,まくり差し,差し,差し,差し
202609140904,2026-09-14,09,4R,realtime,2-1-3,4-1-3,4-1-5,4-1-2,3-1-4,差し,差し,まくり差し,まくり,まくり差し
202609140905,2026-09-14,09,5R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609140905,2026-09-14,09,5R,realtime,2-1-3,3-1-2,2-1-5,2-3-1,3-1-5,差し,まくり差し,差し,差し,まくり差し
202609140906,2026-09-14,09,6R,daily,3-1-2,3-1-4,2-1-3,3-1-5,5-1-2,まくり差し,まくり差し,差し,まくり差し,まくり差し
202609140906,2026-09-14,09,6R,realtime,2-1-3,2-1-5,3-1-2,3-1-5,5-1-2,差し,差し,まくり差し,まくり差し,まくり
202609140907,2026-09-14,09,7R,daily,2-1-3,2-1-4,2-1-5,4-1-2,2-1-6,差し,差し,差し,まくり,差し
202609140907,2026-09-14,09,7R,realtime,2-1-3,2-1-4,2-1-6,2-1-5,6-1-2,差し,差し,差し,差し,まくり差し
202609140908,2026-09-14,09,8R,daily,5-1-2,5-1-3,5-1-4,3-1-5,2-1-5,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609140908,2026-09-14,09,8R,realtime,2-1-4,2-1-3,2-1-5,5-1-2,5-1-4,差し,差し,差し,まくり差し,まくり差し
202609140909,2026-09-14,09,9R,daily,2-1-3,2-1-4,2-1-5,5-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202609140909,2026-09-14,09,9R,realtime,2-1-3,2-1-4,2-1-6,2-1-5,2-3-1,差し,差し,差し,差し,差し
202609140910,2026-09-14,09,10R,daily,4-1-3,4-1-2,4-1-5,3-1-4,2-1-4,差し,まくり,まくり差し,まくり差し,差し
202609140911,2026-09-14,09,11R,daily,2-1-4,4-1-2,2-1-3,4-1-5,4-1-3,差し,まくり,差し,まくり差し,差し
202609140912,2026-09-14,09,12R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609141001,2026-09-14,10,1R,daily,3-1-4,3-1-2,2-1-3,4-1-2,4-1-3,まくり差し,まくり差し,差し,まくり,差し
202609141001,2026-09-14,10,1R,realtime,3-1-4,4-1-2,4-1-3,2-1-4,2-1-3,まくり差し,まくり,差し,差し,差し
202609141002,2026-09-14,10,2R,daily,2-1-3,2-1-4,4-1-2,2-1-6,2-1-5,差し,差し,まくり,差し,差し
202609141002,2026-09-14,10,2R,realtime,2-1-4,2-1-3,4-1-2,2-4-1,2-1-5,差し,差し,まくり,差し,差し
202609141003,2026-09-14,10,3R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609141003,2026-09-14,10,3R,realtime,3-1-2,3-1-4,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609141004,2026-09-14,10,4R,daily,4-1-2,4-1-5,2-1-4,2-1-3,4-1-3,まくり,まくり差し,差し,差し,差し
202609141004,2026-09-14,10,4R,realtime,4-1-5,4-1-2,4-1-3,5-1-4,4-5-1,まくり差し,まくり,差し,まくり差し,まくり
202609141005,2026-09-14,10,5R,daily,3-1-5,3-1-2,3-1-4,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609141005,2026-09-14,10,5R,realtime,3-1-5,3-1-2,3-1-4,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609141006,2026-09-14,10,6R,daily,2-1-4,2-1-3,4-1-2,2-1-5,2-4-1,差し,差し,まくり,差し,差し
202609141006,2026-09-14,10,6R,realtime,2-1-5,2-1-6,2-1-4,6-1-2,2-5-1,差し,差し,差し,まくり,差し
