レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609120909,2026-09-12,09,9R,realtime,67.29,26.9,46.34,10.19,60.53,4.88,61.19,14.82,31.38,1.8,58.6,52.24,20.88,50.32,11.07,54.81,4.42,44.67,10.82,45.22,2.6,49.79,49.94,19.96,52.31,11.5,47.73,3.85,41.58,10.07,53.04,3.05,48.44,48.74,19.48,44.35,9.75,63.34,5.11,54.83,13.28,58.56,3.36,50.99,44.46,17.77,48.33,10.63,53.18,4.29,61.91,15.0,55.1,3.16,50.85,37.0,14.79,48.33,10.63,40.18,3.24,35.9,8.7,56.8,3.26,40.62
202609120910,2026-09-12,09,10R,daily,67.29,26.9,46.34,10.19,44.22,3.57,50.0,12.11,50.0,2.87,55.64,52.24,20.88,44.35,9.75,47.52,3.83,50.0,12.11,50.0,2.87,49.45,49.94,19.96,52.31,11.5,34.7,2.8,50.0,12.11,50.0,2.87,49.25,48.74,19.48,46.34,10.19,45.79,3.69,50.0,12.11,50.0,2.87,48.35,44.46,17.77,56.28,12.38,45.24,3.65,50.0,12.11,50.0,2.87,48.78,37.0,14.79,50.32,11.07,56.34,4.54,50.0,12.11,50.0,2.87,45.39
202609120910,2026-09-12,09,10R,realtime,67.29,26.9,46.34,10.19,44.22,3.57,50.3,12.19,31.38,1.8,54.64,52.24,20.88,44.35,9.75,47.52,3.83,39.01,9.45,45.22,2.6,46.52,49.94,19.96,52.31,11.5,34.7,2.8,28.32,6.86,53.04,3.05,44.17,48.74,19.48,46.34,10.19,45.79,3.69,56.87,13.78,58.56,3.36,50.51,44.46,17.77,56.28,12.38,45.24,3.65,59.43,14.4,55.1,3.16,51.36,37.0,14.79,50.32,11.07,56.34,4.54,66.13,16.02,56.8,3.26,49.68
202609120911,2026-09-12,09,11R,daily,67.29,26.9,52.31,11.5,60.36,4.87,50.0,12.11,50.0,2.87,58.25,52.24,20.88,56.28,12.38,45.93,3.7,50.0,12.11,50.0,2.87,51.95,49.94,19.96,44.35,9.75,58.58,4.72,50.0,12.11,50.0,2.87,49.43,48.74,19.48,50.32,11.07,53.68,4.33,50.0,12.11,50.0,2.87,49.86,44.46,17.77,46.34,10.19,51.07,4.12,50.0,12.11,50.0,2.87,47.07,37.0,14.79,54.3,11.94,50.45,4.07,50.0,12.11,50.0,2.87,45.78
202609120911,2026-09-12,09,11R,realtime,67.29,26.9,52.31,11.5,60.36,4.87,55.69,13.49,31.38,1.8,58.56,52.24,20.88,56.28,12.38,45.93,3.7,38.85,9.41,45.22,2.6,48.97,49.94,19.96,44.35,9.75,58.58,4.72,50.3,12.19,53.04,3.05,49.67,48.74,19.48,50.32,11.07,53.68,4.33,54.83,13.28,58.56,3.36,51.53,44.46,17.77,46.34,10.19,51.07,4.12,54.38,13.18,55.1,3.16,48.42,37.0,14.79,54.3,11.94,50.45,4.07,46.02,11.15,56.8,3.26,45.21
202609120912,2026-09-12,09,12R,daily,67.29,26.9,64.24,14.13,53.22,4.29,50.0,12.11,50.0,2.87,60.3,52.24,20.88,68.21,15.0,51.8,4.18,50.0,12.11,50.0,2.87,55.04,49.94,19.96,54.3,11.94,57.09,4.6,50.0,12.11,50.0,2.87,51.49,48.74,19.48,50.32,11.07,56.78,4.58,50.0,12.11,50.0,2.87,50.11,44.46,17.77,56.28,12.38,45.64,3.68,50.0,12.11,50.0,2.87,48.82,37.0,14.79,52.31,11.5,26.28,2.12,50.0,12.11,50.0,2.87,43.4
202609120912,2026-09-12,09,12R,realtime,67.29,26.9,64.24,14.13,53.22,4.29,45.84,11.11,38.48,2.21,58.63,52.24,20.88,68.21,15.0,51.8,4.18,45.32,10.98,47.47,2.73,53.77,49.94,19.96,54.3,11.94,57.09,4.6,58.5,14.17,50.72,2.91,53.6,48.74,19.48,50.32,11.07,56.78,4.58,45.62,11.05,55.64,3.19,49.38,44.46,17.77,56.28,12.38,45.64,3.68,58.84,14.26,53.07,3.05,51.14,37.0,14.79,52.31,11.5,26.28,2.12,45.96,11.14,54.7,3.14,42.69
202609121001,2026-09-12,10,1R,daily,66.67,25.75,52.82,15.2,47.0,4.1,50.0,8.44,50.0,3.5,56.99,52.63,20.32,47.48,13.66,39.28,3.42,50.0,8.44,50.0,3.5,49.35,52.81,20.4,47.48,13.66,45.7,3.98,50.0,8.44,50.0,3.5,49.98,47.3,18.27,44.8,12.89,42.44,3.7,50.0,8.44,50.0,3.5,46.8,43.92,16.96,47.48,13.66,46.4,4.04,50.0,8.44,50.0,3.5,46.61,36.48,14.09,39.46,11.35,40.84,3.56,50.0,8.44,50.0,3.5,40.95
202609121001,2026-09-12,10,1R,realtime,66.67,25.75,52.82,15.2,47.0,4.1,71.02,11.99,50.0,3.5,60.54,52.63,20.32,47.48,13.66,39.28,3.42,52.68,8.9,50.0,3.5,49.81,52.81,20.4,47.48,13.66,45.7,3.98,38.81,6.55,50.0,3.5,48.09,47.3,18.27,44.8,12.89,42.44,3.7,39.91,6.74,50.0,3.5,45.1,43.92,16.96,47.48,13.66,46.4,4.04,55.97,9.45,50.0,3.5,47.62,36.48,14.09,39.46,11.35,40.84,3.56,41.69,7.04,50.0,3.5,39.55
202609121002,2026-09-12,10,2R,daily,66.67,25.75,52.82,15.2,51.68,4.5,50.0,8.44,50.0,3.5,57.4,52.63,20.32,52.82,15.2,57.02,4.97,50.0,8.44,50.0,3.5,52.44,52.81,20.4,39.46,11.35,51.48,4.49,50.0,8.44,50.0,3.5,48.18,47.3,18.27,47.48,13.66,26.75,2.33,50.0,8.44,50.0,3.5,46.2,43.92,16.96,50.15,14.43,37.35,3.26,50.0,8.44,50.0,3.5,46.59,36.48,14.09,42.13,12.12,47.14,4.11,50.0,8.44,50.0,3.5,42.27
