レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609130610,2026-09-13,06,10R,4269,0.1272,0.0959,0.1585,4811,0.1507,0.1117,0.1897,3392,0.1785,0.1355,0.2216,4022,0.1324,0.0943,0.1706,5066,0.1475,0.1058,0.1891,4345,0.172,0.1358,0.2081
202609130611,2026-09-13,06,11R,4588,0.1272,0.0889,0.1654,3842,0.1784,0.1349,0.2218,4654,0.1441,0.1061,0.1821,4798,0.1067,0.0697,0.1437,4899,0.1494,0.1036,0.1952,3627,0.2097,0.1693,0.2501
202609130612,2026-09-13,06,12R,4967,0.1462,0.1074,0.1851,4150,0.1306,0.0973,0.164,4336,0.1324,0.0963,0.1685,4358,0.2068,0.165,0.2486,4677,0.1396,0.1058,0.1734,4369,0.1503,0.1077,0.1929
202609130701,2026-09-13,07,01R,5169,0.1789,0.1318,0.2261,5240,0.1817,0.1186,0.2448,5128,0.1656,0.1232,0.2079,5197,0.1486,0.1026,0.1947,5175,0.1642,0.1204,0.208,5434,0.1808,0.1387,0.2228
202609130702,2026-09-13,07,02R,5279,0.1311,0.0848,0.1774,5308,0.1577,0.1137,0.2017,5332,0.1664,0.1257,0.2072,5275,0.1338,0.0928,0.1748,5232,0.1599,0.1184,0.2014,5337,0.1933,0.1452,0.2415
202609130703,2026-09-13,07,03R,5239,0.1499,0.1067,0.1932,5234,0.1417,0.1024,0.181,5134,0.1376,0.1029,0.1722,5301,0.1496,0.1151,0.1841,5411,0.169,0.1254,0.2126,5214,0.1922,0.1463,0.2381
202609130704,2026-09-13,07,04R,5325,0.1493,0.112,0.1865,5222,0.1777,0.1383,0.2171,5258,0.1565,0.1066,0.2064,5269,0.1199,0.0804,0.1593,5178,0.1799,0.137,0.2228,5417,0.2236,0.1737,0.2736
202609130705,2026-09-13,07,05R,5243,0.1443,0.1076,0.181,5330,0.1429,0.098,0.1879,5288,0.1385,0.0942,0.1827,5280,0.1428,0.1039,0.1816,5266,0.1635,0.1239,0.2031,5432,0.1548,0.1105,0.1991
202609130706,2026-09-13,07,06R,5145,0.1412,0.1071,0.1753,5169,0.1864,0.1393,0.2336,5255,0.1876,0.1439,0.2313,5207,0.1781,0.1333,0.2228,5256,0.172,0.1361,0.2078,5364,0.1758,0.1314,0.2203
202609130707,2026-09-13,07,07R,5221,0.1359,0.1009,0.1709,5175,0.1643,0.1205,0.2081,5238,0.153,0.1123,0.1938,5303,0.1551,0.1123,0.1978,5332,0.1723,0.1316,0.2131,5411,0.1825,0.1389,0.2261
202609130708,2026-09-13,07,08R,5246,0.1543,0.1026,0.206,5068,0.14,0.0934,0.1867,5331,0.1251,0.082,0.1682,5417,0.2072,0.1573,0.2572,5134,0.1435,0.1088,0.1781,5240,0.1951,0.132,0.2582
202609130709,2026-09-13,07,09R,5330,0.1354,0.0905,0.1804,5128,0.1716,0.1292,0.2139,5385,0.1202,0.0763,0.1642,5166,0.1441,0.1054,0.1828,5196,0.2262,0.1802,0.2722,5308,0.1711,0.1271,0.2151
202609130710,2026-09-13,07,10R,5275,0.1293,0.0883,0.1703,5258,0.1625,0.1126,0.2124,5252,0.1264,0.0917,0.1611,5432,0.1384,0.0941,0.1827,5145,0.1486,0.1145,0.1827,5301,0.166,0.1315,0.2005
202609130711,2026-09-13,07,11R,5255,0.1861,0.1424,0.2298,5214,0.1788,0.1329,0.2247,5269,0.1169,0.0774,0.1563,5337,0.1769,0.1288,0.2251,5288,0.1444,0.1001,0.1886,5238,0.1724,0.1317,0.2132
202609130712,2026-09-13,07,12R,5068,0.1325,0.0859,0.1792,5280,0.1458,0.1069,0.1846,5256,0.1661,0.1302,0.2019,5234,0.1387,0.0994,0.178,5221,0.1433,0.1083,0.1783,5222,0.1911,0.1517,0.2305
202609130801,2026-09-13,08,01R,5129,0.1385,0.1004,0.1767,5203,0.1471,0.1134,0.1809,4941,0.1987,0.1593,0.2381,5052,0.1485,0.0979,0.1991,5436,0.2007,0.1486,0.2528,5078,0.1971,0.1536,0.2407
202609130802,2026-09-13,08,02R,5194,0.1704,0.128,0.2129,5340,0.1583,0.107,0.2096,5155,0.1268,0.0846,0.1691,5297,0.1945,0.1509,0.2381,5324,0.2027,0.1593,0.2461,4726,0.1502,0.1108,0.1896
